id_cliente,nombre,nivel,frecuencia_visitas_mensual,sucursal_frecuente,fecha_alta,canal_alta,fecha_salida
1,José Hernández,Plata,1.4,S1,2023-11-08,restaurante,
2,José García,Oro,3.7,S3,2023-08-23,referencia,
3,José Martínez,Plata,1.5,S2,2023-08-26,campaña,
4,José López,Plata,1.3,S1,2023-02-12,restaurante,
5,José González,Plata,1.9,S1,2023-09-26,restaurante,
6,José Rodríguez,Plata,2.0,S3,2023-12-24,referencia,
7,José Pérez,Oro,3.5,S1,2023-03-10,restaurante,
8,José Sánchez,Plata,1.5,S3,2023-03-28,restaurante,
9,José Ramírez,Oro,2.6,S1,2023-09-27,restaurante,
10,José Flores,Oro,2.8,S1,2023-05-12,restaurante,2024-11-26
11,José Torres,Plata,1.8,S1,2023-09-07,restaurante,
12,José Rivera,Oro,2.0,S2,2023-12-17,restaurante,2025-04-30
13,José Morales,Plata,1.8,S2,2023-08-20,restaurante,
14,José Vázquez,Plata,1.8,S3,2023-05-05,campaña,
15,José Cruz,Plata,2.0,S2,2023-11-16,restaurante,
16,José Ortiz,Oro,2.8,S2,2023-11-01,restaurante,2025-06-02
17,José Gutiérrez,Plata,1.9,S2,2023-09-08,referencia,
18,José Chávez,Plata,1.1,S3,2023-05-11,campaña,2025-06-16
19,José Ramos,Plata,1.9,S2,2023-02-19,restaurante,
20,José Mendoza,Plata,1.1,S1,2023-03-23,restaurante,
21,José Aguilar,Oro,2.8,S2,2023-06-13,referencia,2025-04-19
22,José Castro,Plata,1.7,S3,2023-05-26,restaurante,
23,José Reyes,Plata,2.0,S1,2023-12-23,restaurante,
24,José Medina,Plata,1.1,S3,2022-11-28,referencia,
25,José Silva,Oro,4.0,S2,2023-08-26,restaurante,
26,José Fuentes,Plata,1.4,S2,2023-08-27,campaña,
27,José Salinas,Plata,1.4,S1,2023-04-08,restaurante,2024-10-20
28,José Garza,Plata,1.8,S3,2023-01-04,campaña,
29,José Cantú,VIP,5.3,S1,2023-02-07,restaurante,
30,José Treviño,VIP,7.2,S1,2023-10-27,restaurante,
31,José Cavazos,Oro,2.3,S2,2023-06-19,restaurante,
32,José Zúñiga,Plata,1.1,S2,2023-08-24,restaurante,
33,Juan Hernández,VIP,4.3,S2,2023-11-01,referencia,
34,Juan García,Oro,2.9,S1,2024-01-01,restaurante,2024-08-26
35,Juan Martínez,Oro,2.1,S1,2023-08-19,restaurante,
36,Juan López,Plata,1.2,S1,2023-04-16,campaña,
37,Juan González,Plata,1.9,S2,2023-09-16,campaña,
38,Juan Rodríguez,Plata,1.8,S2,2023-02-06,restaurante,
39,Juan Pérez,VIP,7.0,S2,2023-07-28,restaurante,2024-11-11
40,Juan Sánchez,Plata,1.8,S2,2023-10-13,referencia,
41,Juan Ramírez,Plata,1.5,S3,2023-06-14,campaña,
42,Juan Flores,Plata,1.2,S2,2023-04-26,campaña,
43,Juan Torres,Plata,1.1,S2,2023-10-10,referencia,
44,Juan Rivera,Plata,1.2,S2,2023-10-23,campaña,2024-10-08
45,Juan Morales,Oro,2.8,S2,2023-03-28,restaurante,
46,Juan Vázquez,Oro,3.3,S2,2023-10-22,restaurante,2025-06-20
47,Juan Cruz,Oro,3.8,S1,2023-07-06,restaurante,
48,Juan Ortiz,Plata,1.9,S1,2023-07-04,campaña,
49,Juan Gutiérrez,Oro,3.3,S3,2022-12-19,referencia,2024-08-12
50,Juan Chávez,Plata,1.6,S2,2023-09-08,restaurante,
51,Juan Ramos,Oro,3.7,S2,2023-08-06,restaurante,
52,Juan Mendoza,Plata,1.0,S1,2022-12-25,restaurante,2025-03-03
53,Juan Aguilar,Plata,1.3,S2,2023-05-06,referencia,
54,Juan Castro,Plata,1.8,S2,2023-11-21,restaurante,
55,Juan Reyes,Plata,1.4,S2,2023-02-05,restaurante,
56,Juan Medina,Plata,1.5,S2,2023-10-29,restaurante,
57,Juan Silva,Plata,1.7,S2,2023-08-29,restaurante,
58,Juan Fuentes,Plata,1.2,S3,2024-01-01,restaurante,2024-10-18
59,Juan Salinas,Plata,1.6,S2,2023-02-24,restaurante,
60,Juan Garza,Plata,1.5,S3,2023-10-25,restaurante,
61,Juan Cantú,VIP,7.7,S3,2023-06-26,restaurante,
62,Juan Treviño,Plata,1.6,S2,2023-12-09,restaurante,
63,Juan Cavazos,Plata,1.7,S3,2023-12-22,restaurante,
64,Juan Zúñiga,Plata,1.2,S1,2023-11-21,restaurante,2024-08-21
65,María Hernández,Plata,1.1,S3,2023-07-16,campaña,
66,María García,VIP,5.3,S3,2023-08-17,restaurante,
67,María Martínez,Plata,1.4,S2,2023-08-18,restaurante,2024-10-17
68,María López,Oro,2.4,S3,2023-09-18,restaurante,
69,María González,Plata,1.9,S2,2023-03-28,restaurante,
70,María Rodríguez,Plata,1.1,S1,2023-07-02,restaurante,2024-07-07
71,María Pérez,Plata,1.9,S3,2023-04-29,restaurante,
72,María Sánchez,VIP,7.3,S1,2023-03-31,referencia,
73,María Ramírez,Plata,1.0,S1,2023-06-05,restaurante,
74,María Flores,Plata,1.3,S2,2023-06-28,restaurante,
75,María Torres,Plata,1.8,S3,2022-12-18,restaurante,
76,María Rivera,Plata,2.0,S2,2023-08-24,restaurante,
77,María Morales,Plata,2.0,S2,2023-06-16,restaurante,
78,María Vázquez,Plata,1.4,S1,2023-02-18,campaña,
79,María Cruz,Plata,1.3,S1,2023-05-13,campaña,
80,María Ortiz,Oro,3.7,S1,2023-11-21,restaurante,2025-06-16
81,María Gutiérrez,Oro,2.7,S1,2023-04-10,restaurante,
82,María Chávez,Plata,1.6,S3,2023-07-22,restaurante,
83,María Ramos,Plata,1.9,S3,2023-03-15,restaurante,
84,María Mendoza,Plata,1.5,S3,2023-07-29,campaña,
85,María Aguilar,Oro,2.9,S1,2023-09-07,restaurante,
86,María Castro,Plata,1.3,S1,2023-04-13,restaurante,
87,María Reyes,Oro,2.8,S1,2023-06-03,referencia,
88,María Medina,Oro,3.4,S2,2022-12-10,restaurante,2024-07-05
89,María Silva,Oro,3.1,S2,2023-03-04,restaurante,2024-10-28
90,María Fuentes,Plata,1.8,S2,2023-03-05,campaña,
91,María Salinas,VIP,6.4,S1,2023-11-21,restaurante,
92,María Garza,Plata,1.9,S3,2023-01-28,restaurante,2025-02-14
93,María Cantú,Plata,1.6,S1,2023-07-29,restaurante,
94,María Treviño,Plata,1.7,S1,2023-12-17,referencia,2025-01-25
95,María Cavazos,Plata,1.0,S3,2023-08-20,restaurante,
96,María Zúñiga,Oro,3.0,S3,2023-03-10,restaurante,
97,Guadalupe Hernández,Oro,2.0,S1,2023-05-19,restaurante,
98,Guadalupe García,Plata,1.9,S2,2023-02-21,restaurante,
99,Guadalupe Martínez,VIP,5.1,S3,2023-05-20,campaña,2025-04-26
100,Guadalupe López,Plata,1.8,S3,2023-11-03,restaurante,
101,Guadalupe González,Plata,2.0,S3,2023-06-17,restaurante,
102,Guadalupe Rodríguez,Plata,1.9,S2,2023-01-26,restaurante,
103,Guadalupe Pérez,VIP,7.5,S2,2023-10-18,campaña,
104,Guadalupe Sánchez,Plata,1.1,S3,2023-07-30,restaurante,
105,Guadalupe Ramírez,Plata,1.6,S1,2023-02-11,referencia,
106,Guadalupe Flores,Plata,1.6,S1,2023-01-02,campaña,
107,Guadalupe Torres,VIP,5.7,S2,2023-11-11,restaurante,2024-11-11
108,Guadalupe Rivera,Oro,3.7,S3,2023-11-15,campaña,
109,Guadalupe Morales,Oro,2.6,S1,2023-03-15,referencia,
110,Guadalupe Vázquez,Oro,3.0,S2,2023-06-13,restaurante,2025-05-05
111,Guadalupe Cruz,Oro,2.3,S2,2023-06-30,referencia,
112,Guadalupe Ortiz,Plata,1.4,S2,2023-02-19,restaurante,
113,Guadalupe Gutiérrez,Plata,1.5,S3,2022-12-13,campaña,2025-01-26
114,Guadalupe Chávez,Oro,2.3,S1,2023-05-17,referencia,2024-12-19
115,Guadalupe Ramos,Oro,2.2,S3,2023-10-18,restaurante,
116,Guadalupe Mendoza,Plata,1.4,S2,2023-10-04,campaña,
117,Guadalupe Aguilar,Plata,1.1,S3,2023-02-12,restaurante,
118,Guadalupe Castro,Oro,3.7,S2,2023-01-13,campaña,
119,Guadalupe Reyes,Plata,1.4,S1,2023-04-23,campaña,
120,Guadalupe Medina,VIP,8.0,S3,2023-06-02,restaurante,2024-08-17
121,Guadalupe Silva,Plata,1.0,S3,2023-10-12,restaurante,
122,Guadalupe Fuentes,Plata,1.9,S1,2023-03-25,restaurante,
123,Guadalupe Salinas,Oro,3.7,S3,2022-12-23,restaurante,2024-09-28
124,Guadalupe Garza,Plata,1.8,S3,2023-12-09,restaurante,2024-09-17
125,Guadalupe Cantú,Plata,1.5,S2,2023-12-05,restaurante,
126,Guadalupe Treviño,Plata,1.4,S3,2022-12-31,restaurante,
127,Guadalupe Cavazos,Oro,2.1,S2,2023-10-25,restaurante,
128,Guadalupe Zúñiga,Plata,1.2,S2,2022-12-10,campaña,
129,Pedro Hernández,Plata,2.0,S1,2023-10-14,campaña,
