id_mesero,nombre,sucursal,fecha_ingreso,activo
1,Pedro Martínez,S1,2022-04-13,True
2,Gabriela Gutiérrez,S1,2022-09-04,True
3,Rogelio Cruz,S1,2022-06-29,True
4,César Flores,S1,2022-07-11,True
5,Héctor López,S1,2023-07-25,True
6,Eduardo Gutiérrez,S1,2023-04-03,True
7,Carlos Silva,S1,2023-01-24,True
8,Brenda Chávez,S1,2023-01-03,True
9,Rubén Medina,S1,2023-11-03,True
10,Claudia Zúñiga,S1,2022-12-01,True
11,Pedro Ortiz,S1,2023-08-21,True
12,Manuel Chávez,S1,2022-07-22,True
13,Pedro Sánchez,S1,2022-09-01,True
14,Iván Martínez,S1,2022-03-24,True
15,Teresa Zúñiga,S1,2022-07-22,True
16,César Mendoza,S1,2023-04-01,True
17,Eduardo Fuentes,S1,2022-02-22,True
18,Karla Ortiz,S1,2023-03-02,True
19,Ricardo Silva,S1,2023-04-28,True
20,Sergio García,S1,2022-04-05,True
21,Ana González,S1,2023-03-29,True
22,Jesús Ramos,S1,2023-10-12,True
23,Diana Sánchez,S1,2023-01-22,True
24,Rubén Rodríguez,S1,2022-06-17,True
25,Francisco Salinas,S2,2022-06-11,True
26,Mario Cantú,S2,2023-11-28,True
27,Alberto Cavazos,S2,2022-06-17,True
28,Jesús Hernández,S2,2022-06-23,True
29,Eduardo Treviño,S2,2022-06-28,True
30,Pedro Castro,S2,2022-09-13,True
31,Raúl Hernández,S2,2023-01-21,True
32,Ana Rodríguez,S2,2022-08-17,True
33,Óscar Hernández,S2,2023-05-31,True
34,Óscar Reyes,S2,2022-06-27,True
35,Claudia Pérez,S2,2022-11-25,True
36,Karla Cavazos,S2,2023-01-29,True
37,Fernando Medina,S2,2022-12-29,True
38,Héctor Ramos,S2,2022-11-16,True
39,Luis Reyes,S2,2023-11-08,True
40,Raúl Castro,S2,2023-08-31,True
41,Mariana Rivera,S3,2022-11-23,True
42,Laura González,S3,2022-06-18,True
43,Miguel Ortiz,S3,2023-05-13,True
44,Manuel García,S3,2022-10-25,True
45,Silvia Hernández,S3,2023-11-12,True
46,Mariana Zúñiga,S3,2023-04-14,True
47,Raúl Ramos,S3,2023-02-13,True
48,Jorge Medina,S3,2022-02-12,True
